video_name,content_accuracy,anomaly_detection,confidence_calibration,hallucination,overall_score
anomaly_video_0000.mp4,6.800000000000001,3.5,6.400000000000001,3.8,5.125000000000001
anomaly_video_0001.mp4,1.8000000000000003,3.1,2.2,1.3,2.1
anomaly_video_0002.mp4,2.2,3.6,2.4,2.2,2.6000000000000005
anomaly_video_0003.mp4,5.800000000000001,3.2,5.0,3.8,4.45
anomaly_video_0004.mp4,1.8000000000000003,5.300000000000001,2.4,2.2,2.9250000000000007
anomaly_video_0005.mp4,3.8000000000000003,7.8999999999999995,4.0,2.3,4.5
anomaly_video_0006.mp4,4.800000000000001,4.1,4.0,2.8000000000000003,3.9250000000000003
anomaly_video_0007.mp4,2.8,5.4,3.2,2.3,3.425
anomaly_video_0008.mp4,2.2,3.0,2.4,1.7000000000000002,2.325
anomaly_video_0009.mp4,5.800000000000001,5.9,5.0,3.8,5.125000000000001
anomaly_video_0010.mp4,2.2,4.6,2.4,2.2,2.8499999999999996
anomaly_video_0011.mp4,2.8,3.5,3.0000000000000004,2.2,2.875
anomaly_video_0012.mp4,1.8000000000000003,2.9,2.4,1.3,2.1
anomaly_video_0013.mp4,3.8000000000000003,3.5,4.2,2.3,3.45
anomaly_video_0014.mp4,6.800000000000001,3.2,5.0,3.8,4.7
anomaly_video_0015.mp4,5.800000000000001,2.6,5.0,3.8,4.3
anomaly_video_0016.mp4,3.8000000000000003,4.1,4.0,2.3,3.55
anomaly_video_0017.mp4,2.8,5.9,3.2,2.2,3.5249999999999995
anomaly_video_0018.mp4,2.8,4.1,3.2,2.2,3.075
anomaly_video_0019.mp4,4.800000000000001,3.5,5.0,2.7,4.0
anomaly_video_0020.mp4,4.800000000000001,3.5,4.0,3.7,4.0
anomaly_video_0021.mp4,5.2,6.3999999999999995,4.2,3.8,4.9
anomaly_video_0022.mp4,5.800000000000001,3.5,5.0,3.7,4.5
anomaly_video_0023.mp4,1.8000000000000003,2.2,2.2,1.2000000000000002,1.85
anomaly_video_0024.mp4,1.2000000000000002,5.300000000000001,2.4,1.2000000000000002,2.5250000000000004
anomaly_video_0025.mp4,6.800000000000001,6.3999999999999995,5.0,2.8000000000000003,5.25
anomaly_video_0026.mp4,3.8000000000000003,2.8,3.2,2.7,3.125
anomaly_video_0027.mp4,1.8000000000000003,3.8,2.4,1.7000000000000002,2.425
anomaly_video_0028.mp4,3.8000000000000003,4.1,4.0,3.3000000000000003,3.8000000000000003
anomaly_video_0029.mp4,4.800000000000001,4.1,5.0,3.7,4.4
anomaly_video_0030.mp4,4.800000000000001,3.5,4.0,2.8000000000000003,3.7750000000000004
anomaly_video_0031.mp4,2.8,5.7,4.2,2.2,3.7249999999999996
anomaly_video_0032.mp4,2.8,4.1,2.4,2.2,2.875
anomaly_video_0033.mp4,3.8000000000000003,3.8000000000000003,3.2,2.3,3.2750000000000004
anomaly_video_0034.mp4,1.8000000000000003,3.0,2.4,1.3,2.1250000000000004
anomaly_video_0035.mp4,4.800000000000001,3.8,5.0,3.8,4.3500000000000005
anomaly_video_0036.mp4,3.8000000000000003,3.8,4.0,2.7,3.575
anomaly_video_0037.mp4,5.800000000000001,5.9,4.0,3.7,4.8500000000000005
anomaly_video_0038.mp4,2.8,3.5,4.0,2.3,3.1500000000000004
anomaly_video_0039.mp4,2.8,5.9,3.2,2.2,3.5249999999999995
anomaly_video_0040.mp4,2.2,5.9,2.4,1.3,2.9500000000000006
anomaly_video_0041.mp4,3.8000000000000003,5.9,4.0,2.8000000000000003,4.125
anomaly_video_0042.mp4,2.2,3.8000000000000003,2.4,1.3,2.4250000000000003
anomaly_video_0043.mp4,1.8000000000000003,3.8000000000000003,2.4,1.3,2.325
anomaly_video_0044.mp4,6.200000000000001,3.8,5.0,3.8,4.7
anomaly_video_0045.mp4,5.800000000000001,6.9,5.0,4.2,5.4750000000000005
anomaly_video_0046.mp4,5.800000000000001,7.1,4.0,3.3000000000000003,5.05
anomaly_video_0047.mp4,2.2,4.1,2.4,1.7000000000000002,2.5999999999999996
anomaly_video_0048.mp4,4.800000000000001,4.1,4.0,2.8000000000000003,3.9250000000000003
anomaly_video_0049.mp4,3.8000000000000003,3.2,4.0,2.7,3.425
